8000 193776
19 1 6.828224
19 5023 8.394356
19 5024 7.214970
20 1 9.998533
21 1 1.366322
21 78 5.668720
21 189 4.592541
21 204 1.394233
22 1 3.538733
23 1 4.768570
24 1 7.759024
25 1 9.370655
25 74 4.055126
26 1 2.675713
27 1 3.520200
27 56 2.044683
27 72 1.744536
27 74 3.554621
27 75 9.536556
27 76 2.892479
27 83 4.293487
27 93 8.986666
27 95 7.744758
27 102 2.657553
27 106 4.308751
27 107 9.982011
27 109 6.162492
27 112 5.626282
27 128 8.999198
27 133 2.071958
27 136 3.609783
27 140 5.537669
27 145 6.647359
27 184 7.088485
27 195 2.879346
27 232 7.975934
27 301 1.811708
27 308 5.390657
27 353 6.042324
27 402 6.009641
27 409 9.369644
27 416 8.499639
27 443 3.434602
27 458 8.101174
27 478 2.350655
27 652 5.135733
27 734 2.963995
27 802 6.275882
27 851 2.257120
27 873 4.405822
27 887 5.175027
27 929 5.616838
27 939 9.764359
27 1028 8.508888
27 1139 9.510682
27 1161 5.658280
27 1287 8.723382
27 1304 7.844304
27 1334 8.926948
27 1371 5.962896
27 1507 5.053621
27 1528 3.925618
27 1552 5.300057
27 1672 6.187343
27 1819 7.885061
27 1821 9.799408
27 1824 2.921011
27 1927 1.967481
27 1935 3.904702
27 2111 9.405995
27 2253 6.534264
27 2718 1.087503
27 2720 7.656731
27 2737 8.520643
27 2753 6.619691
27 2939 3.897277
27 2947 7.144329
27 3237 4.104072
27 3844 6.065463
27 4153 6.607272
27 4398 9.033007
27 4755 4.193798
27 5033 1.975541
27 5041 6.341611
27 5045 6.697633
27 5046 9.746939
27 6826 3.142569
27 6827 9.607279
27 6828 6.225313
27 6829 1.340562
27 6830 3.675335
27 6831 9.938862
28 1 3.327849
29 1 6.352922
30 1 3.572428
31 1 4.575384
31 5023 8.600101
31 5024 5.699824
32 1 8.666539
33 1 1.145881
34 1 1.255045
35 1 8.202320
35 1768 5.052547
36 1 5.221066
37 1 8.087190
38 1 7.880997
39 1 1.096092
39 56 8.027229
39 81 9.479587
39 93 2.712544
39 342 4.765318
39 878 6.954408
39 1588 7.482170
39 1970 1.359915
39 2737 8.208701
39 5025 4.199206
39 5026 1.101507
39 5027 3.831274
39 5587 4.883920
40 1 7.588358
41 1 3.782040
41 1768 1.688761
42 1 2.142516
42 93 4.567185
42 316 7.347683
43 1 5.254013
44 1 7.880122
44 56 8.644413
44 878 7.789671
44 1588 1.498490
44 5026 9.665415
44 5027 2.874048
44 5587 7.317409
45 1 9.958960
45 53 1.714454
45 56 6.564451
45 75 6.839317
45 81 3.539620
45 91 7.360912
45 93 3.255923
45 102 7.993862
45 114 2.225356
45 342 8.249625
45 878 3.290688
45 920 7.088561
45 1588 3.664628
45 1970 2.462643
45 2348 7.524439
45 2737 5.028245
45 5027 9.509221
45 5036 6.127727
45 5587 2.259462
46 1 6.941514
46 53 5.587737
46 56 7.305640
46 75 6.008664
46 80 6.914595
46 81 6.578290
46 82 3.081288
46 83 5.297935
46 89 2.413394
46 90 7.730548
46 93 8.061313
46 102 1.771915
46 106 6.811655
46 107 1.866560
46 114 9.937382
46 128 9.841575
46 136 5.916656
46 140 3.766770
46 145 7.684588
46 195 1.250332
46 273 2.841600
46 277 4.269639
46 286 9.488828
46 308 9.653706
46 370 3.368199
46 402 3.633701
46 409 6.993782
46 458 4.809123
46 543 2.106343
46 588 5.913567
46 659 4.984866
46 734 2.370732
46 823 1.725118
46 851 2.487320
46 875 6.719584
46 879 4.258754
46 880 7.700373
46 918 3.133888
46 919 4.683230
46 920 1.259171
46 922 9.356175
46 929 8.586833
46 950 1.395722
46 966 1.689685
46 1000 8.803722
46 1028 9.871921
46 1139 3.973076
46 1161 3.952079
46 1330 9.184277
46 1334 3.492423
46 1359 7.974356
46 1365 5.386336
46 1507 8.020440
46 1560 5.651883
46 1649 5.579128
46 1672 5.714294
46 1700 4.624644
46 1723 4.226651
46 1759 2.917257
46 1768 6.058670
46 1806 4.611866
46 1817 6.530189
46 1824 4.202498
46 2253 7.134140
46 2348 5.342100
46 2715 9.048892
46 2728 9.356247
46 2737 3.675546
46 2753 6.464689
46 2773 5.601403
46 3027 5.465898
46 3844 9.203990
46 4152 3.497919
46 4746 2.595845
46 5030 2.777592
46 5031 3.025845
46 5032 1.628257
46 5033 8.357369
46 5034 6.312340
46 5035 5.665518
46 5036 3.390191
46 5037 8.409189
46 5038 4.838135
46 5039 1.326577
46 5040 7.249788
46 5041 9.346428
46 5042 4.327855
46 5043 9.242426
46 5044 5.931939
46 5045 1.754189
46 5046 3.886244
46 5047 9.534880
46 5048 5.419345
46 5049 2.059333
46 5050 4.650220
46 5051 5.319676
46 5052 1.479482
46 5053 5.307448
46 5054 7.373318
46 5055 7.745062
46 5056 2.838460
46 5057 8.226307
46 5058 2.602064
46 5059 7.573224
46 5060 4.593758
46 5061 6.633527
46 5062 1.360432
46 5063 8.377299
46 5064 3.787885
46 5065 1.763043
46 5066 4.682681
46 5067 8.254460
47 1 5.184321
48 1 9.028223
49 1 9.543308
49 4 2.624487
49 7 2.843132
49 50 3.801965
49 74 4.944438
49 88 4.150427
49 118 8.823314
49 910 5.171967
49 949 6.620597
50 1 9.653928
50 4 4.906505
50 6 7.743213
50 7 4.031631
50 49 3.103666
50 88 8.700954
50 118 9.352778
50 878 1.065898
50 910 5.185988
50 949 3.413006
51 1 6.670854
51 109 2.143938
51 316 6.331878
51 823 8.312179
51 3844 1.638993
51 5020 3.650047
52 1 9.482778
52 1768 1.116564
53 1 6.401041
53 45 8.498380
53 46 9.605350
53 54 8.897571
53 55 9.003637
53 56 9.362273
53 74 7.260241
53 75 3.532216
53 76 2.204724
53 78 2.961251
53 79 4.896341
53 80 3.381832
53 81 1.037165
53 83 1.460833
53 85 1.147570
53 86 6.323351
53 87 2.907165
53 91 3.077426
53 93 9.771745
53 101 6.472753
53 102 4.855958
53 108 9.018276
53 109 8.113210
53 112 5.729385
53 113 8.329529
53 114 1.222059
53 115 2.002979
53 118 5.403360
53 119 5.451094
53 121 3.310555
53 127 9.522085
53 128 2.841820
53 138 2.982200
53 143 8.660907
53 154 3.379094
53 155 8.487024
53 164 5.234883
53 165 5.614183
53 169 2.708915
53 186 3.898086
53 193 9.718201
53 239 4.947374
53 245 4.331888
53 280 8.841381
53 281 6.310780
53 290 2.275670
53 301 1.523427
53 342 3.893912
53 378 3.821202
53 382 1.827495
53 415 4.251237
53 420 1.732267
53 645 7.062496
53 662 3.366929
53 802 1.718610
53 824 5.963701
53 864 4.123657
53 870 3.603725
53 882 1.863798
53 936 6.348651
53 959 9.755375
53 1028 9.095358
53 1068 9.575726
53 1354 4.127577
53 1355 1.974644
53 1486 5.669743
53 1606 7.735161
53 1668 9.682918
53 1713 4.388517
53 1797 8.675254
53 1814 2.002941
53 1849 1.687828
53 1889 8.212065
53 1891 3.101421
53 1893 8.063239
53 1947 2.049748
53 1953 7.726324
53 1964 8.297800
53 1971 1.393376
53 1976 8.757590
53 1987 1.057257
53 1993 5.519214
53 2015 5.615295
53 2039 4.889763
53 2092 9.281224
53 2093 9.853864
53 2094 7.721661
53 2095 7.115484
53 2096 3.120188
53 2097 7.631042
53 2098 8.255039
53 2099 1.686781
53 2100 4.137050
53 2101 4.655297
53 2102 5.180474
53 2103 8.015668
53 2104 7.657390
53 2105 6.324390
53 2106 3.258338
53 2107 5.636357
53 2108 2.594424
53 2109 6.836324
53 2110 8.802688
53 2111 9.036441
53 2112 7.873864
53 2113 2.851385
53 2114 2.152912
53 2115 4.597669
53 2116 4.045434
53 2117 9.416261
53 2118 8.154902
54 1 9.893840
54 53 9.850446
54 55 3.312147
54 56 9.732087
54 73 5.845400
54 74 8.883039
54 75 7.434436
54 76 5.327692
54 77 3.088947
54 78 8.935554
54 79 7.902946
54 80 7.422883
54 81 9.744174
54 82 3.718408
54 83 2.747533
54 84 3.454302
54 85 2.243733
54 86 4.936048
54 87 3.076555
54 88 5.650759
54 89 6.812926
54 90 8.789648
54 91 9.195372
54 92 2.437574
54 93 8.279082
54 94 5.712906
54 95 8.321957
54 96 3.617972
54 97 5.640268
54 98 2.992778
54 99 8.983915
54 100 2.044257
54 101 2.806415
54 102 7.999890
54 103 1.329938
54 104 2.271066
54 105 1.240108
54 106 8.092931
54 107 3.316716
54 108 9.286552
54 109 3.921322
54 110 9.312315
54 111 7.289072
54 112 7.173785
54 113 9.329104
54 114 1.587572
54 115 9.078772
54 116 9.885500
54 117 8.796929
54 118 9.927167
54 119 4.263383
54 120 9.312786
54 121 2.386414
54 122 7.964019
54 123 6.847580
54 124 2.760854
54 125 4.160553
54 126 4.495235
54 127 2.606373
54 128 4.163717
54 129 6.413073
54 130 3.347538
54 131 6.934232
54 132 3.823376
54 133 7.647425
54 134 4.564129
54 135 2.382335
54 136 4.221858
54 137 3.925107
54 138 8.177437
54 139 4.965400
54 140 9.101932
54 141 6.000852
54 142 5.827004
54 143 8.075020
54 144 6.670480
54 145 7.990913
54 146 7.090213
54 147 7.333681
54 148 8.474374
54 149 5.711164
54 150 8.376558
54 151 1.326707
54 152 4.084860
54 153 1.932430
54 154 5.219642
54 155 4.865381
54 156 9.768505
54 157 8.999621
54 158 8.301230
54 159 8.192079
54 160 3.127266
54 161 2.444108
54 162 6.695508
54 163 1.667654
54 164 9.882350
54 165 5.281198
54 166 3.015738
54 167 5.297826
54 168 2.165949
54 169 9.250006
54 170 8.791500
55 1 2.047359
55 53 5.449497
55 54 1.158296
55 56 1.089565
55 156 5.077400
55 172 8.974313
55 232 7.768003
55 904 5.157871
55 1976 6.200448
55 2047 7.998236
55 7949 9.373359
56 1 7.604779
56 5 3.864399
56 9 7.655302
56 13 1.772774
56 15 7.840395
56 16 4.221743
56 27 7.366908
56 39 1.444852
56 44 2.839872
56 45 5.684533
56 46 8.152563
56 53 5.785881
56 54 5.454769
56 55 6.590440
56 73 7.701147
56 74 9.720481
56 75 8.374525
56 76 1.446492
56 78 6.542433
56 79 7.853034
56 80 8.434460
56 81 1.821345
56 82 9.988127
56 83 6.385795
56 85 5.388430
56 86 5.187366
56 87 2.924376
56 88 2.687759
56 89 6.453576
56 91 3.412989
56 92 8.288192
56 93 3.680384
56 94 7.414913
56 96 4.557643
56 97 7.982709
56 101 1.097428
56 102 4.635509
56 106 4.904923
56 107 6.093083
56 109 2.169935
56 112 4.384270
56 113 3.371749
56 114 6.396579
56 115 3.801338
56 116 5.108269
56 118 9.099311
56 119 6.717850
56 120 5.174977
56 121 1.612387
56 122 9.071127
56 124 6.040948
56 125 3.324136
56 126 5.843443
56 127 6.148757
56 128 3.592682
56 131 3.968435
56 133 1.023102
56 136 2.177710
56 138 9.874047
56 140 4.340721
56 141 8.814807
56 143 3.088685
56 144 2.238050
56 146 5.383043
56 147 5.977263
56 149 7.445034
56 151 5.893973
56 154 9.312309
56 155 6.967234
56 156 6.238681
56 160 9.607760
56 164 2.530658
56 165 8.705334
56 166 2.888131
56 172 7.077333
56 174 1.026684
56 175 5.939638
56 180 4.065617
56 185 6.307512
56 192 7.117035
56 194 6.759282
56 200 2.523284
56 205 5.612309
56 206 1.368535
56 215 5.325746
56 224 7.466243
56 228 8.187052
56 232 1.759572
56 239 3.054933
56 240 2.893216
56 245 4.507725
56 269 9.455969
56 271 1.804326
56 277 4.788005
56 287 1.242061
56 288 4.616649
56 290 4.207145
56 293 5.678087
56 295 8.838540
56 301 8.604375
56 305 5.381780
56 326 8.279833
56 333 3.391779
56 339 1.283397
56 342 5.278260
56 344 7.336667
56 360 7.876689
56 362 1.339212
56 363 7.863309
56 370 4.561598
56 377 1.751150
56 378 9.740864
56 385 1.031457
56 388 1.810302
56 415 2.064235
56 420 5.350784
56 423 1.925810
56 441 8.731398
56 448 9.995137
56 449 6.559878
56 455 1.709779
56 461 4.194220
56 462 9.467540
56 465 7.498587
56 468 9.236076
56 481 8.275607
56 528 1.884247
56 614 9.563493
56 652 6.281261
56 659 3.558643
56 662 6.108774
56 686 7.181168
56 762 7.475626
56 789 5.212733
56 802 3.568988
56 824 3.064307
56 864 2.858049
56 866 9.784925
56 870 4.423684
56 871 6.738590
56 881 7.427198
56 882 4.790580
56 887 6.246265
56 898 1.402762
56 899 7.374705
56 900 9.777142
56 901 2.237144
56 925 4.341241
56 928 4.459110
56 936 6.339084
56 937 3.194129
56 938 7.044848
56 948 3.382540
56 951 2.256769
56 959 2.647331
56 1023 8.336515
56 1024 3.155544
56 1077 1.231817
56 1117 6.945606
56 1139 7.949537
56 1180 9.735014
56 1202 1.670045
56 1259 2.126406
56 1298 3.875946
56 1340 2.616123
56 1341 4.952737
56 1377 3.944426
56 1392 8.932434
56 1393 5.372064
56 1459 9.529402
56 1466 3.303352
56 1471 7.610980
56 1507 7.842729
56 1535 3.729024
56 1538 7.367233
56 1552 6.201529
56 1555 3.288800
56 1566 3.221122
56 1668 8.610919
56 1710 1.620037
56 1767 8.291713
56 1784 7.010022
56 1797 7.967200
56 1801 4.290382
56 1814 7.593212
56 1821 6.933584
56 1842 4.176219
56 1888 2.213198
56 1889 7.175490
56 1891 2.551594
56 1893 3.116523
56 1894 2.934629
56 1897 3.687794
56 1903 8.184539
56 1908 4.071549
56 1910 7.442443
56 1916 4.271434
56 1925 4.456232
56 1935 6.006481
56 1936 1.131639
56 1940 4.200612
56 1941 1.947695
56 1942 3.725427
56 1943 3.112713
56 1944 2.660191
56 1945 1.189858
56 1946 4.786773
56 1947 8.431896
56 1948 6.959184
56 1949 2.852292
56 1950 8.545325
56 1951 5.122986
56 1952 1.855472
56 1953 3.490813
56 1954 5.288698
56 1955 1.897179
56 1956 5.436203
56 1957 6.469733
56 1958 6.569263
56 1959 8.212985
56 1960 1.937351
56 1961 7.606277
56 1962 1.910356
56 1963 4.892845
56 1964 6.680331
56 1965 3.248391
56 1966 9.019537
56 1967 3.008339
56 1968 6.354562
56 1969 8.144857
56 1970 9.795390
56 1971 2.792141
56 1972 9.025756
56 1973 9.162448
56 1974 6.582142
56 1975 5.987772
56 1976 8.718741
56 1977 5.299844
56 1978 8.914725
56 1979 2.055698
56 1980 3.239443
56 1981 8.684179
56 1982 4.608237
56 1983 7.084342
56 1984 3.723978
56 1985 9.552402
56 1986 7.716813
56 1987 3.477748
56 1988 5.914962
56 1989 9.105423
56 1990 7.464602
56 1991 4.641533
56 1992 9.302495
56 1993 5.592383
56 1994 8.215434
56 1995 2.091234
56 1996 6.573887
56 1997 1.417144
56 1998 8.878860
56 1999 7.575364
56 2000 2.582796
56 2001 9.942702
56 2002 1.939503
56 2003 8.780416
56 2004 5.024533
56 2005 5.023730
56 2006 7.178062
56 2007 1.781745
56 2008 8.421681
56 2009 2.829721
56 2010 9.053871
56 2011 5.703769
56 2012 1.777229
56 2013 3.953336
56 2014 2.541741
56 2015 6.424052
56 2016 4.526446
56 2017 1.378462
56 2018 5.443178
56 2019 1.389189
56 2020 6.801173
56 2021 9.710989
56 2022 1.418463
56 2023 1.821573
56 2024 3.783658
56 2025 1.421743
56 2026 8.799258
56 2027 2.297289
56 2028 4.674011
56 2029 2.280775
56 2030 1.038690
56 2031 5.593886
56 2032 8.918853
56 2033 1.569033
56 2034 2.396502
56 2035 1.080160
56 2036 3.260857
56 2037 8.179134
56 2038 9.598912
56 2039 3.757467
56 2040 7.444444
56 2041 5.051788
56 2042 4.434251
56 2043 5.516723
56 2044 1.186888
56 2045 3.204946
56 2046 4.796360
56 2047 4.180804
56 2048 3.033419
57 1 5.056367
58 1 9.092158
59 1 5.400101
59 81 6.155282
59 878 1.116017
59 1588 6.262891
59 1970 6.896497
59 2737 7.799746
59 5027 3.020731
60 1 8.447838
60 109 2.903499
60 273 9.963149
60 1330 9.183258
60 1725 6.636484
60 2348 4.303112
60 5024 9.976432
60 5033 6.119019
60 5069 1.439902
61 1 2.356787
62 1 2.797219
62 109 6.612546
62 316 7.681195
62 1053 4.631862
62 1725 9.700969
62 2348 4.813045
62 3334 2.273840
62 3844 6.237342
62 5020 4.791932
62 5021 3.474766
63 1 8.523114
64 1 1.625095
65 1 9.343571
65 2718 8.919522
66 1 2.727336
67 1 7.436801
68 1 3.065687
69 1 7.915770
69 140 2.234899
69 588 4.022634
69 2630 8.806043
69 5020 9.661125
69 5021 7.428048
70 1 1.999789
71 72 4.151891
72 27 3.105020
72 71 4.901340
72 74 6.854812
72 76 7.728932
72 77 5.080710
72 81 1.303286
72 95 8.182380
72 118 2.737848
72 136 5.846277
72 140 5.586994
72 175 6.511077
72 180 2.008676
72 188 7.918036
72 195 3.123695
72 206 1.215184
72 213 5.639851
72 219 5.366867
72 221 1.546595
72 224 7.895174
72 233 8.539367
72 255 2.488029
72 284 9.100942
72 293 7.329447
72 299 6.855418
72 300 7.692175
72 307 9.373301
72 312 9.180855
72 314 8.965064
72 315 8.318058
72 335 9.648711
72 336 2.466790
72 346 1.126495
72 354 5.017312
72 355 9.219658
72 364 6.739622
72 379 3.838789
72 383 2.572059
72 398 3.896552
72 416 7.319337
72 426 2.873483
72 443 8.323299
72 446 9.433415
72 448 8.803262
72 452 8.303585
72 471 7.252251
72 472 2.811217
72 478 7.988230
72 480 1.263810
72 499 8.092923
72 504 1.450460
72 505 9.821612
72 506 7.547439
72 508 5.659804
72 509 4.587189
72 510 3.735990
72 516 2.917362
72 519 4.641965
72 520 2.104939
72 521 3.786906
72 528 6.080825
72 530 8.266505
72 538 2.875703
72 539 2.466316
72 549 2.713196
72 551 8.482057
72 556 2.723986
72 557 4.903338
72 558 3.375033
72 559 9.975573
72 562 7.691258
72 563 3.780466
72 565 1.152340
72 566 4.698529
72 575 9.270868
72 576 8.045354
72 578 3.435624
72 581 6.281732
72 586 5.865055
72 588 3.922535
72 592 3.045282
72 593 7.948337
72 594 5.595993
72 613 2.182127
72 621 9.062974
72 645 2.109743
72 652 1.506669
72 653 6.884317
72 658 5.569634
72 664 7.547546
72 672 4.644148
72 688 6.467481
72 734 6.627678
72 735 2.197740
72 736 2.380431
72 744 4.630690
72 794 8.742912
72 797 1.706473
72 800 2.481959
72 802 2.574183
72 805 2.624849
72 812 3.913111
72 815 8.217345
72 818 6.674965
72 842 4.852557
72 851 7.743192
72 889 7.713538
72 907 8.061148
72 1034 2.113554
72 1076 3.655131
72 1094 3.111247
72 1159 3.330459
72 1176 8.425331
72 1185 1.072315
72 1198 3.019410
72 1231 2.818015
72 1297 7.636892
72 1308 2.772844
72 1338 5.829403
72 1340 7.315363
72 1373 7.282963
72 1396 9.749893
72 1422 5.149723
72 1430 5.084943
72 1438 3.750410
72 1457 9.003077
72 1458 3.150643
72 1461 6.932853
72 1464 8.795233
72 1476 3.757602
72 1481 6.881759
72 1528 7.050885
72 1548 3.268939
72 1549 7.011681
72 1555 6.430562
72 1559 5.504213
72 1599 6.086970
72 1606 1.906822
72 1607 6.312981
72 1623 7.212427
72 1637 4.491083
72 1647 8.805942
72 1653 3.295974
72 1657 5.770421
72 1665 5.765875
72 1667 5.175556
72 1761 2.628582
72 1763 8.468711
72 1765 2.203569
72 1824 7.454952
72 1910 5.643901
72 2001 1.153090
72 2045 5.567157
72 2144 1.948794
72 2263 3.691683
72 2276 9.575387
72 2278 9.207408
72 2428 3.536939
72 2566 6.001720
72 2567 6.411923
72 2568 3.741318
72 2570 5.219408
72 2575 5.259616
72 2576 1.130110
72 2577 7.168155
72 2580 1.824993
72 2591 8.128947
72 2592 7.210345
72 2593 2.358585
72 2595 3.575990
72 2603 6.163028
72 2609 4.569231
72 2619 9.533893
72 2631 5.552560
72 2642 9.563884
72 2643 4.078998
72 2650 1.525973
72 2651 7.414674
72 2654 3.332667
72 2663 5.133938
72 2669 6.286678
72 2706 1.044093
72 2775 8.732598
72 2793 5.949616
72 3031 3.397272
72 3108 2.416940
72 3117 6.821184
72 3133 1.937449
72 3138 4.780361
72 3139 4.956454
72 3147 9.047208
72 3169 4.439264
72 3196 8.485213
72 3197 9.364462
72 3230 3.997372
72 3235 4.509173
72 3237 5.211950
72 3437 2.610750
72 3448 5.385451
72 3482 2.915533
72 3518 2.180847
72 3533 2.293180
72 3535 9.465364
72 3598 8.750375
72 3626 6.678592
72 3682 7.164343
72 3792 9.161784
72 3915 2.625851
72 3922 8.790070
72 3970 2.718885
72 4027 4.299720
72 4038 8.665225
72 4056 7.262212
72 4057 2.643143
72 4131 7.211919
72 4136 2.748133
72 4174 2.624199
72 4206 1.159721
72 4531 1.455699
72 4539 4.806355
72 4609 9.055671
72 4616 9.433187
72 4677 3.850046
72 4681 4.944408
72 4703 8.394814
72 4740 1.720386
72 4991 7.933426
72 5145 5.341258
72 5148 9.933730
72 5159 7.817766
72 5167 7.312490
72 5168 4.153384
72 5203 1.208142
72 5220 8.811363
72 5223 4.674304
72 5224 3.624150
72 5276 2.121197
72 5422 6.701145
72 5425 8.688246
72 5428 3.167357
72 5438 9.445874
72 5463 1.374594
72 5464 2.399847
72 5465 2.041146
72 5478 9.876007
72 5481 5.135104
72 5482 1.271469
72 5483 1.860612
72 5500 3.248104
72 5733 9.358913
72 5734 2.314784
72 5749 7.635588
72 5750 4.256655
72 5754 6.956744
72 5774 2.615615
72 5775 4.134733
72 5779 7.156774
72 5800 8.723765
72 5828 8.553388
72 5829 9.719281
72 5840 5.740750
72 5843 4.296526
72 5870 9.657295
72 5877 1.985777
72 5878 1.829741
72 5879 7.431114
72 5880 1.880388
72 5881 3.055914
72 5883 7.962916
72 5894 3.088744
72 5921 8.616025
72 5926 9.198102
72 5941 6.527365
72 5942 6.720772
72 5951 7.572347
72 6570 1.793121
72 6658 8.797017
72 6678 8.963485
72 6782 3.167933
72 6786 8.490385
72 6957 5.799764
72 7155 7.098371
72 7188 2.012653
72 7292 7.297222
72 7544 3.156765
72 7641 4.511724
72 7657 8.012880
72 7665 8.959226
72 7679 8.556217
72 7680 3.054102
72 7733 3.775085
72 7736 8.043034
72 7763 3.500007
72 7796 9.003859
72 7821 5.759710
72 7938 3.429085
73 54 2.068265
73 56 2.874037
73 74 5.893030
73 75 8.428998
73 76 2.437717
73 78 5.411131
73 80 7.343870
73 82 3.843475
73 86 7.782239
73 89 3.802504
73 91 8.071730
73 93 6.944887
73 99 9.220838
73 131 2.787251
73 136 8.598265
73 140 1.333396
73 149 4.886048
73 150 5.631105
73 155 2.058042
73 156 9.903234
73 164 4.296350
73 172 7.350768
73 173 8.255977
73 174 9.093889
73 178 9.601228
73 183 4.012596
73 188 3.037813
73 198 5.458076
73 200 7.940033
73 215 7.756101
73 223 2.094585
73 227 4.039875
73 246 5.879757
73 277 4.370057
73 279 1.469745
73 286 9.364184
73 308 6.673751
73 331 8.372865
73 342 6.725605
73 358 1.359835
73 385 6.918275
73 386 2.904899
73 441 4.983272
73 443 1.621702
73 449 1.229382
73 458 6.229277
73 461 3.883021
73 462 8.800544
73 481 4.742797
73 502 7.382933
73 516 7.351423
73 520 6.803048
73 543 2.696410
73 572 2.689573
73 644 8.878752
73 677 7.274852
73 686 2.515446
73 695 8.158712
73 696 6.195053
73 878 5.605619
73 888 7.143946
73 898 9.708790
73 901 2.693252
73 925 5.250719
73 936 9.925050
73 1140 8.926215
73 1144 5.649659
73 1365 5.847325
73 1377 5.999340
73 1392 5.856173
73 1393 9.125502
73 1443 9.002770
73 1466 1.659006
73 1504 3.141210
73 1507 4.819973
73 1552 2.402685
73 1586 5.472084
73 1603 5.019750
73 1713 3.362040
73 1817 4.375235
73 1903 1.765153
73 1904 8.794445
73 1923 7.240577
73 1924 3.386707
73 1925 1.774810
73 1926 5.900834
73 1964 6.778350
73 1976 6.107927
73 1989 8.166556
73 1997 9.030882
